teamname,playername,dateupdated,plink,tdate,tweet,polarity,subjectivity,approval,numrt,numfav
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/DcSportsFan4Lyf/status/1264984115666878465,2020-05-25 18:18:10+00:00,Joe thornton,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264978986049863682,2020-05-25 17:57:47+00:00,He never did. I wonder how many times Trump took back a lie?,0.25,0.25,0.188,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/Frisbob1/status/1264978215824752645,2020-05-25 17:54:43+00:00,@briancrd as Joe Thornton: Bearded vet who still can kick ass when he is pissed off ,0.0,0.0,0.0,0,8
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264933083830247425,2020-05-25 14:55:23+00:00,"Wow, so inspirational.",0.3,1.0,0.0,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/RealJoeThornton/status/1264912615362437121,2020-05-25 13:34:03+00:00,"#HappyMemorialDay to all of our #veterans and especially to our fallen fallen veterans no matter what happens you always keep us safe, and we need to continue to do our part supporting and honoring you. #AlwaysRemember #alwaysfaithful",0.25,0.583,0.104,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264897015714058245,2020-05-25 12:32:03+00:00,Not by January he won't.,0.0,0.0,0.0,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264895774527303680,2020-05-25 12:27:07+00:00,Forget you and the Republicans. Dirty people in every sense.,-0.6,0.8,-0.12,0,1
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264893948469837824,2020-05-25 12:19:52+00:00,See the recent news about Brazil? It dispels everything you say. And it's only one example.,0.0,0.625,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264893424882286592,2020-05-25 12:17:47+00:00,A bunch of co-workers post a BBQ pick all together w/o masks. We already had a few people infected and sick. Don't let your guard down.,-0.357,0.415,-0.208,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264890063667765249,2020-05-25 12:04:26+00:00,"That's a lie about Trump's opponents. It's a lie about summertime. And you lied about the vaccine trials. You're leader lies enough, shame on you. Fake Patriotism.",-0.25,0.75,-0.062,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264888198859284482,2020-05-25 11:57:01+00:00,"It's pretty bad when his followers are gathered without masks and safe distancing and their leader is out playing. NO SENSE of DUTY to help fight the ""INVISIBLE WAR"".",0.017,0.722,0.005,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/jthor64675/status/1264864433630777344,2020-05-25 10:22:35+00:00,You should attend a few classes. Maybe English/Literature for starters?,-0.2,0.1,-0.18,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/_NathanDavid/status/1264797053663641600,2020-05-25 05:54:51+00:00,When some clown says Joe Thornton isn’t one of the greatest players of all time ,1.0,1.0,0.0,1,11
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/BenchWarmerView/status/1264785455783931904,2020-05-25 05:08:45+00:00,#SJSharks Joe Thornton will never shoot again lol ,0.8,0.7,0.24,0,2
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/lpavss/status/1264768760075808769,2020-05-25 04:02:25+00:00,joe thornton to the mirror after he shoots the puck and it goes in :( ,-0.75,1.0,-0.0,0,3
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/HabSoPo73/status/1264741814508163077,2020-05-25 02:15:21+00:00,C - Joe Thornton LW - John Leclair RW - Jaromir Jagr D - Jeff Petry D - John Carlson G - Jacques Plante ,0.0,0.0,0.0,0,0
San Jose Sharks,Joe Thornton,2020-05-27_19_49_43,https://twitter.com/sundqvistfan70/status/1264727185719324672,2020-05-25 01:17:13+00:00,joe thornton beard,0.0,0.0,0.0,0,0
